,date,ct,dt,ct_ma,dt_ma
101,2020-05-12,87,22,84.85714285714286,16.285714285714285
102,2020-05-13,50,19,77.57142857142857,17.285714285714285
103,2020-05-14,98,16,77.57142857142857,17.857142857142858
104,2020-05-15,52,18,72.57142857142857,18.0
105,2020-05-16,54,18,63.857142857142854,17.714285714285715
106,2020-05-17,24,9,57.42857142857143,17.285714285714285
107,2020-05-18,33,9,56.857142857142854,15.857142857142858
108,2020-05-19,28,9,48.42857142857143,14.0
109,2020-05-20,34,13,46.142857142857146,13.142857142857142
110,2020-05-21,41,8,38.0,12.0
111,2020-05-22,23,10,33.857142857142854,10.857142857142858
112,2020-05-23,25,9,29.714285714285715,9.571428571428571
113,2020-05-24,41,7,32.142857142857146,9.285714285714286
114,2020-05-25,21,5,30.428571428571427,8.714285714285714
115,2020-05-26,30,6,30.714285714285715,8.285714285714286
116,2020-05-27,26,7,29.571428571428573,7.428571428571429
117,2020-05-28,60,14,32.285714285714285,8.285714285714286
118,2020-05-29,73,6,39.42857142857143,7.714285714285714
119,2020-05-30,45,5,42.285714285714285,7.142857142857143
120,2020-05-31,35,3,41.42857142857143,6.571428571428571
121,2020-06-01,37,2,43.714285714285715,6.142857142857143
122,2020-06-02,51,3,46.714285714285715,5.714285714285714
123,2020-06-03,29,5,47.142857142857146,5.428571428571429
124,2020-06-04,44,5,44.857142857142854,4.142857142857143
125,2020-06-05,47,4,41.142857142857146,3.857142857142857
126,2020-06-06,46,2,41.285714285714285,3.4285714285714284
127,2020-06-07,38,0,41.714285714285715,3.0
128,2020-06-08,21,3,39.42857142857143,3.142857142857143
129,2020-06-09,45,1,38.57142857142857,2.857142857142857
130,2020-06-10,36,2,39.57142857142857,2.4285714285714284
131,2020-06-11,44,0,39.57142857142857,1.7142857142857142
132,2020-06-12,61,4,41.57142857142857,1.7142857142857142
133,2020-06-13,45,2,41.42857142857143,1.7142857142857142
134,2020-06-14,75,0,46.714285714285715,1.7142857142857142
135,2020-06-15,72,2,54.0,1.5714285714285714
136,2020-06-16,42,5,53.57142857142857,2.142857142857143
137,2020-06-17,46,1,55.0,2.0
138,2020-06-18,69,1,58.57142857142857,2.142857142857143
139,2020-06-19,61,19,58.57142857142857,4.285714285714286
140,2020-06-20,64,0,61.285714285714285,4.0
141,2020-06-21,55,1,58.42857142857143,4.142857142857143
142,2020-06-22,43,1,54.285714285714285,4.0
143,2020-06-23,57,4,56.42857142857143,3.857142857142857
144,2020-06-24,96,4,63.57142857142857,4.285714285714286
145,2020-06-25,82,2,65.42857142857143,4.428571428571429
146,2020-06-26,105,0,71.71428571428571,1.7142857142857142
147,2020-06-27,92,1,75.71428571428571,1.8571428571428572
148,2020-06-28,113,0,84.0,1.7142857142857142
149,2020-06-29,110,2,93.57142857142857,1.8571428571428572
150,2020-06-30,138,0,105.14285714285714,1.2857142857142858
151,2020-07-01,127,2,109.57142857142857,1.0
152,2020-07-02,194,1,125.57142857142857,0.8571428571428571
153,2020-07-03,250,0,146.28571428571428,0.8571428571428571
154,2020-07-04,274,0,172.28571428571428,0.7142857142857143
155,2020-07-05,208,0,185.85714285714286,0.7142857142857143
156,2020-07-06,176,1,195.28571428571428,0.5714285714285714
157,2020-07-07,208,2,205.28571428571428,0.8571428571428571
158,2020-07-08,207,2,216.71428571428572,0.8571428571428571
159,2020-07-09,355,0,239.71428571428572,0.7142857142857143
160,2020-07-10,430,0,265.42857142857144,0.7142857142857143
161,2020-07-11,386,1,281.42857142857144,0.8571428571428571
162,2020-07-12,407,0,309.85714285714283,0.8571428571428571
163,2020-07-13,259,1,321.7142857142857,0.8571428571428571
164,2020-07-14,333,0,339.57142857142856,0.5714285714285714
165,2020-07-15,450,1,374.2857142857143,0.42857142857142855
166,2020-07-16,624,0,412.7142857142857,0.42857142857142855
167,2020-07-17,597,0,436.57142857142856,0.42857142857142855
168,2020-07-18,661,1,475.85714285714283,0.42857142857142855
